Lat,Lon
44.88963,-92.91884
44.925118,-93.048795
44.925118,-93.048795
44.88963,-92.91884
34.239477,-118.588495
34.19292,-118.82262
34.18536,-118.92648
34.201111,-118.597222
41.144606,-75.925343
41.144606,-75.925343
28.078258,-80.603624
28.024675,-80.539219
28.116342,-80.582287
42.360936,-71.060239
39.122086,-76.529331
39.266016,-76.845513
37.330413,-121.891128
42.050672,-76.866098
34.19292,-118.82262
33.752811,-117.995095
33.871269,-118.371584
43.58496,-70.37064
43.652363,-70.725533
43.464074,-70.795813
28.018087,-80.682599
37.228841,-80.415762
37.228841,-80.415762
40.952505,-80.658498
37.285795,-122.226668
37.330413,-121.891128
37.400588,-121.963467
26.409609,-80.106315
34.154498,-118.64317
34.280332,-118.889449
41.43438,-82.13742
41.369097,-82.253517
42.456444,-71.370954
42.43213,-71.056084
42.453933,-71.278811
34.520996,-117.951674
42.452923,-71.146003
40.887151,-74.218789
37.405548,-122.078481
37.574646,-122.046431
45.549763,-94.227348
34.266232,-119.209181
39.545881,-104.974412
39.545881,-104.974412
42.32025,-71.439495
40.725101,-111.939531
33.752811,-117.995095
33.795614,-118.064756
33.871269,-118.371584
34.19292,-118.82262
33.766667,-118.366667
34.19292,-118.82262
33.871269,-118.371584
33.871269,-118.371584
37.809816,-122.265531
35.623072,-117.670357
34.140438,-118.751567
33.923798,-118.405527
34.091537,-118.38202
34.145314,-117.853357
34.001758,-118.394799
42.023745,-93.662894
34.68468,-86.79204
41.466931,-73.395508
41.57359,-73.796075
41.468177,-81.514037
33.752811,-117.995095
33.795614,-118.064756
33.960629,-118.350216
33.825599,-118.328416
32.980136,-117.082337
33.766667,-118.366667
37.51445,-122.296118
45.16358,-92.95643
42.458873,-83.346843
42.274234,-83.730952
42.574828,-83.594968
33.871269,-118.371584
33.767496,-118.187712
33.923798,-118.405527
25.775355,-80.208792
25.775355,-80.208792
39.919548,-105.085569
36.291646,-95.967837
35.951012,-95.885108
42.334141,-71.097433
38.857622,-77.053083
44.811514,-93.610998
45.10633,-93.38407
45.16358,-92.95643
33.01776,-96.62442
34.485022,-118.42802
44.839723,-93.07693
44.981963,-93.26551
44.98188,-92.69082
30.267104,-97.744615
44.801532,-93.141757
45.09864,-93.254963
40.121389,-75.340278
40.094368,-75.750753
40.19682,-75.53928
40.00251,-75.273155
37.330413,-121.891128
33.980117,-84.149338
41.67647,-73.008551
41.607535,-72.870394
45.058398,-92.825832
44.88963,-92.91884
44.919109,-92.941297
44.88963,-92.91884
45.085314,-93.134715
44.919109,-92.941297
47.649774,-122.398314
47.649774,-122.398314
47.649774,-122.398314
47.62002,-122.204989
47.649774,-122.398314
47.649774,-122.398314
42.607854,-71.572329
33.874322,-118.39546
39.196623,-77.335092
32.96187,-117.232665
38.545,-121.739444
33.760266,-117.488216
33.784149,-118.263982
33.825599,-118.328416
42.274234,-83.730952
42.274234,-83.730952
42.16254,-84.02004
42.274234,-83.730952
33.020814,-117.267083
41.631065,-83.618751
41.631065,-83.618751
41.631065,-83.618751
33.940256,-117.397192
42.394199,-71.180235
42.391409,-71.094721
42.391409,-71.094721
42.374067,-71.117136
40.708181,-74.003846
33.940256,-117.397192
33.940256,-117.397192
40.014525,-83.068936
40.100412,-83.115807
35.928939,-79.040693
43.613913,-116.200919
35.235304,-106.619422
36.39744,-105.59448
42.79578,-73.86744
42.85146,-73.79898
42.79578,-73.86744
37.961584,-87.508593
40.565319,-105.045445
40.565319,-105.045445
40.565319,-105.045445
44.31672,-74.13354
40.663916,-73.860508
20.733086,-156.44971
32.980136,-117.082337
32.980136,-117.082337
37.862373,-84.648746
37.643159,-84.771501
38.050332,-84.49784
38.163,-85.5213
34.053275,-118.534568
34.202639,-118.534607
33.874322,-118.39546
34.262932,-118.75053
34.262932,-118.75053
34.237131,-118.481042
38.75622,-120.5466
37.774093,-122.41842
21.393173,-158.011282
40.2024,-74.83098
40.345441,-74.655866
40.416194,-74.695442
43.491978,-112.033059
37.774093,-122.41842
37.08552,-121.6098
37.920642,-122.302362
37.920642,-122.302362
37.77757,-122.214747
45.022134,-93.244686
27.003613,-82.013836
27.003613,-82.013836
35.161545,-106.579538
35.161545,-106.579538
37.400588,-121.963467
40.811856,-81.373368
40.811856,-81.373368
40.918936,-81.135368
39.735632,-75.547657
30.420528,-87.223981
27.94594,-82.788362
37.229886,-121.958736
41.676124,-83.399648
41.521573,-83.813173
41.631065,-83.618751
41.631065,-83.618751
41.631065,-83.618751
41.580263,-83.912406
42.534205,-82.950983
37.959899,-122.504023
38.297277,-122.287663
37.874619,-122.047244
37.809816,-122.265531
37.868252,-122.258486
37.714234,-121.930817
37.730738,-121.691989
39.608071,-105.332386
38.877688,-104.819099
43.491978,-112.033059
37.774093,-122.41842
43.491978,-112.033059
37.774093,-122.41842
30.175872,-95.504233
38.050332,-84.49784
38.050332,-84.49784
38.899292,-77.260327
30.251077,-85.950567
35.161545,-106.579538
33.055326,-117.263733
40.252079,-75.085955
44.418374,-69.007415
43.491978,-112.033059
39.562606,-121.557974
47.586461,-122.030567
47.11881,-122.30643
47.561848,-121.901429
47.649774,-122.398314
47.649774,-122.398314
36.974167,-122.029722
47.586461,-122.030567
47.649774,-122.398314
47.561848,-121.901429
41.64704,-87.62067
33.825599,-118.328416
33.871269,-118.371584
35.161545,-106.579538
35.161545,-106.579538
35.161545,-106.579538
42.180601,-76.841295
42.518881,-83.163476
42.561732,-83.14647
39.608071,-105.332386
39.977765,-105.130638
39.608071,-105.332386
40.000519,-105.098843
39.608071,-105.332386
33.940256,-117.397192
31.939621,-94.255138
33.862452,-98.576512
33.825599,-118.328416
33.825599,-118.328416
39.684577,-75.735242
39.684577,-75.735242
39.684577,-75.735242
39.735632,-75.547657
39.77827,-75.687486
39.758082,-75.79046
40.01281,-105.205353
38.13894,-97.430948
34.673146,-82.823962
34.673146,-82.823962
40.345441,-74.655866
40.498795,-74.425817
40.519417,-74.414583
30.418422,-91.139518
40.399813,-75.0428
39.515707,-104.662026
30.418422,-91.139518
30.418422,-91.139518
30.418422,-91.139518
43.613913,-116.200919
37.809816,-122.265531
37.809816,-122.265531
40.600901,-73.654227
34.18345,-102.136365
33.020814,-117.267083
42.699457,-73.210225
42.68712,-73.07436
34.201111,-118.597222
34.044755,-118.75538
33.863555,-118.182163
33.983732,-118.391412
28.307863,-80.663103
47.586461,-122.030567
34.717749,-86.482115
34.740543,-86.629283
34.101551,-118.103851
33.969836,-118.071934
34.262932,-118.75053
34.262932,-118.75053
34.280332,-118.889449
34.262932,-118.75053
35.670641,-78.663729
39.29778,-76.608993
36.070576,-79.766148
33.164995,-96.777523
42.274234,-83.730952
42.532103,-83.773187
39.608071,-105.332386
39.462199,-105.367398
30.267104,-97.744615
30.267104,-97.744615
38.975593,-77.159849
38.787863,-77.187222
38.994472,-77.025419
38.066608,-75.540891
39.111974,-76.553563
40.345441,-74.655866
32.215483,-110.970828
39.684577,-75.735242
39.684577,-75.735242
39.684577,-75.735242
32.215483,-110.970828
41.294911,-73.797703
40.01281,-105.205353
41.136316,-73.793269
37.354725,-79.283113
37.34945,-79.157075
37.366667,-79.391704
34.140438,-118.751567
34.001758,-118.394799
34.012451,-118.471282
34.482978,-118.428774
42.023745,-93.662894
34.68468,-86.79204
41.644619,-73.674092
40.786573,-73.542199
41.098338,-74.009393
34.262932,-118.75053
34.381783,-118.573262
42.512682,-107.892119
33.940256,-117.397192
37.62501,-122.432243
37.77757,-122.214747
34.053275,-118.534568
32.747058,-96.99646
35.89354,-106.285048
